FIPS Code,State,Area name,Attribute,Value
5147,AR,Woodruff County,"Percent of adults with a bachelor's degree or higher, 2019-23",15.89085072
5039,AR,Dallas County,"Percent of adults with a bachelor's degree or higher, 2019-23",11.13285497
5055,AR,Greene County,"Percent of adults with a bachelor's degree or higher, 2019-23",16.48897
6097,CA,Sonoma County,"Percent of adults with a bachelor's degree or higher, 2019-23",37.84693852
6043,CA,Mariposa County,"Percent of adults with a bachelor's degree or higher, 2019-23",30.86170848
6013,CA,Contra Costa County,"Percent of adults with a bachelor's degree or higher, 2019-23",44.91015897
6011,CA,Colusa County,"Percent of adults with a bachelor's degree or higher, 2019-23",14.52397996
6049,CA,Modoc County,"Percent of adults with a bachelor's degree or higher, 2019-23",23.00403852
6111,CA,Ventura County,"Percent of adults with a bachelor's degree or higher, 2019-23",35.6657604
6045,CA,Mendocino County,"Percent of adults with a bachelor's degree or higher, 2019-23",24.92368578
6103,CA,Tehama County,"Percent of adults with a bachelor's degree or higher, 2019-23",18.84319224
6077,CA,San Joaquin County,"Percent of adults with a bachelor's degree or higher, 2019-23",21.57295804
8065,CO,Lake County,"Percent of adults with a bachelor's degree or higher, 2019-23",46.07824244
8101,CO,Pueblo County,"Percent of adults with a bachelor's degree or higher, 2019-23",25.01743879
8005,CO,Arapahoe County,"Percent of adults with a bachelor's degree or higher, 2019-23",45.74243117
8091,CO,Ouray County,"Percent of adults with a bachelor's degree or higher, 2019-23",53.96270396
8057,CO,Jackson County,"Percent of adults with a bachelor's degree or higher, 2019-23",27.53888381
8067,CO,La Plata County,"Percent of adults with a bachelor's degree or higher, 2019-23",47.25968717
8014,CO,Broomfield County,"Percent of adults with a bachelor's degree or higher, 2019-23",58.64371179
8047,CO,Gilpin County,"Percent of adults with a bachelor's degree or higher, 2019-23",48.37764287
8011,CO,Bent County,"Percent of adults with a bachelor's degree or higher, 2019-23",14.17359187
9190,CT,"Western Connecticut Planning Region, Connecticut","Percent of adults with a bachelor's degree or higher, 2019-23",55.04583347
9150,CT,"Northeastern Connecticut Planning Region, Connecticut","Percent of adults with a bachelor's degree or higher, 2019-23",26.15902434
9170,CT,"South Central Connecticut Planning Region, Connecticut","Percent of adults with a bachelor's degree or higher, 2019-23",41.07148706
9160,CT,"Northwest Hills Planning Region, Connecticut","Percent of adults with a bachelor's degree or higher, 2019-23",39.38992042
9180,CT,"Southeastern Connecticut Planning Region, Connecticut","Percent of adults with a bachelor's degree or higher, 2019-23",34.63708123
9130,CT,"Lower Connecticut River Valley Planning Region, Connecticut","Percent of adults with a bachelor's degree or higher, 2019-23",45.45090612
9140,CT,"Naugatuck Valley Planning Region, Connecticut","Percent of adults with a bachelor's degree or higher, 2019-23",33.78860261
9110,CT,"Capitol Planning Region, Connecticut","Percent of adults with a bachelor's degree or higher, 2019-23",41.48887847
9120,CT,"Greater Bridgeport Planning Region, Connecticut","Percent of adults with a bachelor's degree or higher, 2019-23",41.65763248
10001,DE,Kent County,"Percent of adults with a bachelor's degree or higher, 2019-23",26.73821258
10005,DE,Sussex County,"Percent of adults with a bachelor's degree or higher, 2019-23",32.5661846
10003,DE,New Castle County,"Percent of adults with a bachelor's degree or higher, 2019-23",39.2211129
11001,DC,District of Columbia,"Percent of adults with a bachelor's degree or higher, 2019-23",63.56362225
12061,FL,Indian River County,"Percent of adults with a bachelor's degree or higher, 2019-23",33.43323084
12027,FL,DeSoto County,"Percent of adults with a bachelor's degree or higher, 2019-23",10.97870678
12097,FL,Osceola County,"Percent of adults with a bachelor's degree or higher, 2019-23",28.25542831
12073,FL,Leon County,"Percent of adults with a bachelor's degree or higher, 2019-23",48.58254115
12133,FL,Washington County,"Percent of adults with a bachelor's degree or higher, 2019-23",12.48585439
12083,FL,Marion County,"Percent of adults with a bachelor's degree or higher, 2019-23",22.37578412
12107,FL,Putnam County,"Percent of adults with a bachelor's degree or higher, 2019-23",14.09466765
